Team,FTH_Goals,FTA_Goals,Result,B365H,B365D,B365A,fifa,fixt,period,points_at_H,Total_points,Goals_favour,Goals_against,ShTar_favour,ShTar_against,Sht_favour,Sht_against,games_at_H,Div,points_at_A,games_at_A
Birmingham,0.0,3.0,2.0,2.5,3.2,2.75,60,3.0,506.0,0.0,1.0,0.33,0.67,0.67,2.0,3.0,3.0,2.0,E0,,
Portsmouth,1.0,1.0,1.0,2.5,3.2,2.75,60,3.0,506.0,1.0,1.0,0.0,0.67,2.33,2.0,3.67,3.67,2.0,E0,,
Sunderland,1.0,2.0,2.0,2.75,3.2,2.5,60,3.0,506.0,0.0,0.0,0.33,1.0,2.67,1.33,4.0,4.67,2.0,E0,,
Arsenal,4.0,1.0,0.0,1.22,5.5,13.0,80,3.0,506.0,6.0,6.0,0.67,0.0,4.0,0.33,5.0,0.67,2.0,E0,,
Blackburn,0.0,0.0,1.0,2.62,3.2,2.6,60,3.0,506.0,4.0,4.0,0.67,0.33,3.0,1.33,5.33,2.67,2.0,E0,,
Bolton,2.0,0.0,0.0,2.3,3.25,3.0,60,3.0,506.0,3.0,4.0,0.0,0.33,2.0,0.33,5.33,1.0,2.0,E0,,
Chelsea,4.0,0.0,0.0,1.2,5.5,17.0,90,3.0,506.0,6.0,9.0,0.33,0.0,2.0,1.0,3.0,3.0,2.0,E0,,
Aston Villa,1.0,0.0,0.0,2.1,3.25,3.4,60,4.0,506.0,4.0,5.0,0.67,0.67,0.67,2.0,1.0,4.33,2.0,E0,,
Fulham,1.0,0.0,0.0,2.5,3.2,2.75,60,4.0,506.0,4.0,4.0,0.0,0.0,2.33,1.33,5.0,2.33,2.0,E0,,
Man City,2.0,1.0,0.0,1.61,3.6,5.5,90,4.0,506.0,4.0,10.0,0.0,0.0,2.67,1.0,5.0,4.33,2.0,E0,,
Tottenham,0.0,2.0,2.0,4.33,3.3,1.83,80,4.0,506.0,3.0,7.0,0.67,0.0,2.67,1.0,6.0,4.0,2.0,E0,,
West Brom,2.0,3.0,2.0,2.37,3.1,3.0,60,4.0,506.0,3.0,4.0,0.67,0.33,0.67,0.67,2.0,3.33,2.0,E0,,
West Ham,1.0,2.0,2.0,2.5,3.2,2.75,60,3.0,506.0,3.0,4.0,1.0,0.33,1.67,1.67,4.33,3.67,2.0,E0,,
Wigan,1.0,0.0,0.0,2.1,3.25,3.4,60,3.0,506.0,3.0,3.0,0.0,0.33,1.67,3.0,4.0,6.67,2.0,E0,,
Middlesbrough,0.0,3.0,2.0,1.83,3.3,4.33,60,4.0,506.0,1.0,4.0,0.0,0.0,0.67,2.33,1.33,5.33,2.0,E0,,
Newcastle,0.0,2.0,2.0,5.0,3.6,1.66,70,4.0,506.0,1.0,1.0,0.0,0.0,2.0,0.33,4.67,2.0,2.0,E0,,
Birmingham,0.0,1.0,2.0,2.37,3.25,2.87,60,4.0,506.0,0.0,4.0,0.33,1.67,3.33,3.0,7.67,5.67,3.0,E0,,
Chelsea,2.0,0.0,0.0,1.12,7.5,19.0,90,5.0,506.0,9.0,15.0,1.67,0.0,4.67,1.0,6.67,3.0,3.0,E0,,
Everton,0.0,1.0,2.0,1.72,3.3,5.0,70,5.0,506.0,0.0,3.0,0.0,0.67,1.67,1.67,3.33,4.0,2.0,E0,,
Man United,1.0,1.0,1.0,1.4,3.75,10.0,90,4.0,506.0,4.0,10.0,0.33,0.0,4.0,1.0,6.0,1.0,2.0,E0,,
Middlesbrough,2.0,1.0,0.0,5.0,3.3,1.72,60,5.0,506.0,4.0,7.0,0.0,1.0,2.67,5.0,4.67,9.33,3.0,E0,,
Newcastle,1.0,1.0,1.0,1.61,3.4,6.0,70,5.0,506.0,2.0,2.0,0.0,0.67,3.33,2.0,7.67,5.67,3.0,E0,,
Tottenham,0.0,0.0,1.0,2.5,3.2,2.75,80,5.0,506.0,4.0,8.0,0.67,0.67,4.67,3.33,9.67,8.33,3.0,E0,,
West Brom,1.0,2.0,2.0,2.0,3.2,3.75,60,4.0,506.0,3.0,4.0,1.33,1.33,3.33,3.0,7.0,6.0,3.0,E0,,
Bolton,0.0,0.0,1.0,2.0,3.2,3.75,60,5.0,506.0,4.0,8.0,0.67,0.33,4.0,1.67,10.0,3.33,3.0,E0,,
West Ham,4.0,0.0,0.0,2.5,3.2,2.75,60,4.0,506.0,6.0,7.0,1.33,1.0,3.67,3.67,8.67,7.0,3.0,E0,,
Aston Villa,1.0,1.0,1.0,2.6,3.25,2.6,60,6.0,506.0,5.0,6.0,1.0,0.67,1.67,2.67,4.33,7.33,3.0,E0,,
Charlton,0.0,2.0,2.0,6.0,3.6,1.57,60,6.0,506.0,3.0,12.0,0.33,0.0,3.33,0.0,7.0,1.33,2.0,E0,,
Fulham,1.0,2.0,2.0,2.2,3.1,3.3,60,5.0,506.0,4.0,5.0,0.33,0.0,3.67,2.0,8.0,4.33,3.0,E0,,
Portsmouth,1.0,1.0,1.0,2.3,3.25,3.0,60,6.0,506.0,2.0,5.0,0.33,1.0,6.0,3.0,10.33,6.0,3.0,E0,,
Sunderland,1.0,1.0,1.0,2.37,3.2,2.9,60,6.0,506.0,1.0,1.0,0.67,1.67,6.0,3.67,9.0,8.67,3.0,E0,,
Blackburn,0.0,3.0,2.0,2.4,3.25,2.8,60,6.0,506.0,4.0,5.0,0.67,0.33,5.33,1.67,9.0,3.0,3.0,E0,,
Liverpool,0.0,0.0,1.0,2.7,3.1,2.6,90,5.0,506.0,4.0,6.0,0.33,0.0,2.0,0.0,5.0,0.67,2.0,E0,,
Man City,0.0,1.0,2.0,2.1,3.25,3.4,90,6.0,506.0,4.0,11.0,0.67,0.33,5.67,1.67,10.33,6.67,3.0,E0,,
Wigan,1.0,1.0,1.0,2.7,3.1,2.6,60,5.0,506.0,4.0,7.0,0.33,0.33,3.33,5.33,7.67,9.67,3.0,E0,,
Arsenal,2.0,0.0,0.0,1.4,4.0,9.0,80,5.0,506.0,9.0,9.0,2.0,0.33,8.67,1.33,11.67,3.33,3.0,E0,,
Birmingham,2.0,2.0,1.0,3.4,3.25,2.1,60,5.0,506.0,1.0,6.0,0.33,2.0,5.0,4.33,13.67,8.33,4.0,E0,,
Bolton,1.0,0.0,0.0,1.72,3.4,5.0,60,7.0,506.0,7.0,14.0,0.67,0.33,6.0,2.67,14.0,5.67,4.0,E0,,
Chelsea,2.0,1.0,0.0,1.22,5.5,13.0,90,7.0,506.0,12.0,21.0,2.33,0.0,6.67,1.67,9.67,3.67,4.0,E0,,
Everton,0.0,1.0,2.0,1.9,3.25,4.0,70,6.0,506.0,0.0,3.0,0.0,1.0,3.67,4.33,7.0,8.0,3.0,E0,,
Man United,1.0,2.0,2.0,1.3,4.33,13.0,90,6.0,506.0,4.0,11.0,0.67,0.33,4.67,2.0,8.33,2.67,3.0,E0,,
Newcastle,1.0,0.0,0.0,2.1,3.25,3.4,70,7.0,506.0,5.0,8.0,0.33,1.0,6.67,4.67,12.67,10.0,4.0,E0,,
West Brom,1.0,2.0,2.0,2.75,3.2,2.5,60,7.0,506.0,3.0,5.0,1.67,2.0,5.0,4.33,10.33,9.0,4.0,E0,,
West Ham,0.0,0.0,1.0,5.0,3.4,1.72,60,6.0,506.0,7.0,11.0,2.67,1.0,6.67,6.33,13.33,11.67,4.0,E0,,
Middlesbrough,0.0,2.0,2.0,1.57,3.5,6.5,60,7.0,506.0,4.0,8.0,0.67,1.33,4.33,7.67,6.67,13.67,4.0,E0,,
Tottenham,1.0,0.0,0.0,1.61,3.4,6.0,80,7.0,506.0,7.0,12.0,0.67,0.67,7.0,5.33,13.0,12.0,4.0,E0,,
Blackburn,2.0,0.0,0.0,1.8,3.3,4.5,60,8.0,506.0,7.0,11.0,0.67,1.33,8.67,2.67,14.67,4.33,4.0,E0,,
Charlton,2.0,3.0,2.0,2.5,3.2,2.75,60,8.0,506.0,3.0,15.0,0.33,0.67,4.67,3.67,10.67,6.67,3.0,E0,,
Fulham,2.0,3.0,2.0,5.0,3.6,1.66,60,7.0,506.0,4.0,5.0,0.67,0.67,5.67,3.0,11.0,7.67,4.0,E0,,
Portsmouth,0.0,0.0,1.0,2.8,3.25,2.4,60,8.0,506.0,3.0,6.0,0.67,1.33,9.0,3.67,15.0,7.0,4.0,E0,,
Sunderland,1.0,1.0,1.0,2.5,3.2,2.75,60,7.0,506.0,2.0,5.0,1.0,2.0,8.0,5.67,12.67,13.0,4.0,E0,,
Arsenal,1.0,0.0,0.0,1.33,4.5,9.5,80,8.0,506.0,12.0,13.0,2.67,0.33,10.0,2.0,15.33,4.67,4.0,E0,,
Aston Villa,2.0,3.0,2.0,2.1,3.25,3.4,60,8.0,506.0,5.0,6.0,1.33,1.0,3.67,5.0,8.67,11.67,4.0,E0,,
Liverpool,1.0,4.0,2.0,3.25,3.0,2.3,90,6.0,506.0,4.0,7.0,0.33,0.0,3.0,0.33,8.0,2.0,3.0,E0,,
Man City,2.0,0.0,0.0,1.83,3.3,4.33,90,8.0,506.0,7.0,14.0,0.67,0.67,8.33,2.0,16.0,8.33,4.0,E0,,
Wigan,2.0,1.0,0.0,2.6,3.2,2.62,60,7.0,506.0,7.0,13.0,0.67,0.67,4.67,6.33,11.33,13.0,4.0,E0,,
Chelsea,5.0,1.0,0.0,1.28,4.5,13.0,90,9.0,506.0,15.0,27.0,2.67,0.33,6.67,1.33,12.67,1.67,5.0,E0,,
Liverpool,1.0,0.0,0.0,1.61,3.4,6.0,90,7.0,506.0,7.0,10.0,0.67,1.33,4.67,2.0,11.67,4.33,4.0,E0,,
Middlesbrough,1.0,1.0,1.0,1.72,3.3,4.5,60,9.0,506.0,5.0,12.0,0.67,2.0,7.33,6.0,12.0,9.67,5.0,E0,,
Sunderland,1.0,3.0,2.0,7.5,3.6,1.5,60,9.0,506.0,2.0,5.0,1.0,1.33,8.0,5.33,14.0,10.33,5.0,E0,,
Tottenham,2.0,0.0,0.0,1.61,3.4,6.0,80,9.0,506.0,10.0,18.0,0.33,0.67,5.67,6.0,10.0,10.67,5.0,E0,,
West Brom,2.0,1.0,0.0,6.0,3.4,1.61,60,9.0,506.0,6.0,8.0,1.33,2.33,7.67,5.0,14.33,8.33,5.0,E0,,
Wigan,1.0,0.0,0.0,2.6,3.25,2.6,60,8.0,506.0,10.0,16.0,1.33,0.67,6.0,4.67,12.67,10.67,5.0,E0,,
Birmingham,0.0,1.0,2.0,2.37,3.1,3.0,60,9.0,506.0,1.0,6.0,0.67,2.0,5.67,4.33,12.0,10.0,5.0,E0,,
Man City,2.0,1.0,0.0,1.9,3.25,4.0,90,8.0,506.0,10.0,17.0,1.33,0.67,7.33,2.33,15.67,5.67,5.0,E0,,
Charlton,1.0,1.0,1.0,1.83,3.25,4.5,60,9.0,506.0,4.0,16.0,1.0,1.67,6.0,6.0,13.67,11.0,4.0,E0,,
Arsenal,1.0,0.0,0.0,1.5,3.75,7.0,80,10.0,506.0,15.0,16.0,2.33,0.33,10.33,2.33,15.67,4.67,5.0,E0,,
Aston Villa,0.0,2.0,2.0,2.0,3.2,3.75,60,9.0,506.0,5.0,9.0,1.33,1.33,5.0,6.33,12.0,11.67,5.0,E0,,
Blackburn,2.0,0.0,0.0,2.0,3.2,3.75,60,10.0,506.0,10.0,14.0,0.67,1.0,9.33,2.33,16.0,3.67,5.0,E0,,
Fulham,2.0,0.0,0.0,3.5,3.2,2.1,60,8.0,506.0,7.0,9.0,1.33,1.67,5.33,4.0,9.67,9.0,5.0,E0,,
Man United,1.0,1.0,1.0,1.61,3.4,6.0,90,10.0,506.0,5.0,18.0,1.0,1.0,7.33,5.33,17.33,6.0,4.0,E0,,
Portsmouth,1.0,2.0,2.0,2.6,3.25,2.6,60,10.0,506.0,3.0,7.0,0.67,0.67,8.67,2.67,14.67,5.33,5.0,E0,,
Bolton,2.0,0.0,0.0,1.72,3.4,5.0,60,10.0,506.0,10.0,17.0,1.0,0.0,4.67,3.67,12.33,6.67,5.0,E0,,
Everton,1.0,1.0,1.0,9.0,4.33,1.36,70,9.0,506.0,1.0,4.0,0.0,1.33,6.0,5.33,11.67,11.67,4.0,E0,,
Newcastle,3.0,2.0,0.0,1.66,3.4,5.5,70,10.0,506.0,8.0,12.0,0.67,1.0,6.67,5.67,10.67,10.67,5.0,E0,,
West Ham,2.0,1.0,0.0,2.37,3.25,2.87,60,9.0,506.0,10.0,15.0,1.67,0.67,5.0,5.33,11.0,10.67,5.0,E0,,
Birmingham,0.0,1.0,2.0,2.3,3.25,3.0,60,10.0,506.0,1.0,6.0,0.67,1.33,4.67,3.67,10.0,8.67,6.0,E0,,
Charlton,0.0,1.0,2.0,2.1,3.2,3.5,60,10.0,506.0,4.0,19.0,1.0,2.0,3.67,6.33,11.33,14.0,5.0,E0,,
Chelsea,4.0,2.0,0.0,1.22,5.5,13.0,90,11.0,506.0,18.0,31.0,3.0,0.67,6.67,2.0,14.67,3.0,6.0,E0,,
Liverpool,2.0,0.0,0.0,1.57,3.5,6.5,90,10.0,506.0,10.0,13.0,0.67,1.33,4.33,2.33,13.0,5.0,5.0,E0,,
Middlesbrough,4.0,1.0,0.0,4.5,3.3,1.8,60,11.0,506.0,8.0,15.0,1.0,1.33,7.67,4.67,13.33,8.67,6.0,E0,,
Sunderland,1.0,4.0,2.0,2.25,3.2,3.1,60,11.0,506.0,2.0,5.0,1.0,1.67,6.67,6.0,12.67,11.33,6.0,E0,,
Tottenham,1.0,1.0,1.0,2.8,3.1,2.5,80,11.0,506.0,11.0,20.0,1.0,0.0,5.33,5.0,8.67,9.0,6.0,E0,,
Wigan,1.0,0.0,0.0,2.1,3.2,3.5,60,10.0,506.0,13.0,22.0,1.33,0.67,6.33,4.67,13.0,11.33,6.0,E0,,
West Brom,0.0,3.0,2.0,3.0,3.25,2.3,60,11.0,506.0,6.0,8.0,1.33,1.67,6.33,6.0,11.0,10.33,6.0,E0,,
Man City,3.0,1.0,0.0,1.83,3.25,4.5,90,11.0,506.0,13.0,20.0,1.33,0.67,10.0,2.67,17.67,5.33,6.0,E0,,
Arsenal,3.0,1.0,0.0,1.2,6.0,13.0,80,12.0,506.0,18.0,20.0,1.33,0.0,6.33,2.67,10.33,4.33,6.0,E0,,
Aston Villa,0.0,2.0,2.0,3.2,3.25,2.2,60,10.0,506.0,5.0,9.0,1.0,2.0,5.67,7.67,14.0,10.67,6.0,E0,,
Blackburn,4.0,1.0,0.0,2.3,3.1,3.1,60,11.0,506.0,13.0,17.0,1.33,1.0,8.67,2.67,16.0,4.33,6.0,E0,,
Fulham,2.0,1.0,0.0,2.5,3.2,2.75,60,12.0,506.0,10.0,12.0,1.67,1.67,5.0,5.33,8.67,11.67,6.0,E0,,
Newcastle,1.0,0.0,0.0,1.61,3.4,6.0,70,12.0,506.0,11.0,18.0,1.67,1.0,8.33,5.67,11.67,10.33,6.0,E0,,
Portsmouth,0.0,2.0,2.0,2.3,3.25,3.0,60,11.0,506.0,3.0,10.0,0.67,1.0,7.0,4.0,13.0,6.67,6.0,E0,,
West Ham,1.0,0.0,0.0,1.83,3.3,4.33,60,11.0,506.0,13.0,18.0,2.0,0.33,5.67,6.33,11.67,13.67,6.0,E0,,
Everton,1.0,0.0,0.0,2.5,3.2,2.75,70,12.0,506.0,4.0,10.0,0.33,1.0,5.67,7.67,9.67,15.67,5.0,E0,,
Man United,1.0,0.0,0.0,3.25,3.2,2.2,90,11.0,506.0,8.0,21.0,1.0,1.33,6.33,6.67,15.67,8.0,5.0,E0,,
