HomeTeam,AwayTeam,FTH_Goals,FTA_Goals,Result,B365H,B365D,B365A,Htm_fifa,Atm_fifa,fixt,period,Htm_points_at_H,Atm_points_at_A,Htm_Total_points,Atm_Total_points,Htm_Goals_favour,Atm_Goals_favour,Htm_Goals_against,Atm_Goals_against,Htm_ShTar_favour,Atm_ShTar_favour,Htm_ShTar_against,Atm_ShTar_against,Htm_Sht_favour,Atm_Sht_favour,Htm_Sht_against,Atm_Sht_against,Htm_games_at_H,Atm_games_at_A,Div
Birmingham,Middlesbrough,0.0,3.0,2.0,2.5,3.2,2.75,60,50,3.0,506.0,0.0,3.0,1.0,4.0,0.33,0.0,0.67,0.67,0.67,1.0,2.0,2.67,3.0,4.0,3.0,6.0,2.0,2.0,E0
Portsmouth,Aston Villa,1.0,1.0,1.0,2.5,3.2,2.75,60,50,3.0,506.0,1.0,1.0,1.0,2.0,0.0,0.0,0.67,0.33,2.33,1.0,2.0,4.0,3.67,1.0,3.67,6.0,2.0,2.0,E0
Sunderland,Man City,1.0,2.0,2.0,2.75,3.2,2.5,60,80,3.0,506.0,0.0,6.0,0.0,7.0,0.33,0.67,1.0,0.33,2.67,2.0,1.33,0.67,4.0,3.0,4.67,3.0,2.0,2.0,E0
Arsenal,Fulham,4.0,1.0,0.0,1.22,5.5,13.0,80,50,3.0,506.0,6.0,0.0,6.0,1.0,0.67,0.33,0.0,0.67,4.0,1.33,0.33,3.0,5.0,2.67,0.67,5.33,2.0,2.0,E0
Blackburn,Tottenham,0.0,0.0,1.0,2.62,3.2,2.6,60,70,3.0,506.0,4.0,4.0,4.0,7.0,0.67,0.67,0.33,0.0,3.0,2.0,1.33,2.33,5.33,3.67,2.67,3.67,2.0,2.0,E0
Bolton,Newcastle,2.0,0.0,0.0,2.3,3.25,3.0,60,60,3.0,506.0,3.0,0.0,4.0,1.0,0.0,0.0,0.33,0.67,2.0,0.33,0.33,4.0,5.33,0.67,1.0,5.0,2.0,2.0,E0
Chelsea,West Brom,4.0,0.0,0.0,1.2,5.5,17.0,90,50,3.0,506.0,6.0,1.0,9.0,4.0,0.33,0.0,0.0,0.0,2.0,1.0,1.0,2.67,3.0,4.33,3.0,5.0,2.0,2.0,E0
Aston Villa,Blackburn,1.0,0.0,0.0,2.1,3.25,3.4,60,50,4.0,506.0,4.0,0.0,5.0,4.0,0.67,0.33,0.67,1.0,0.67,1.67,2.0,1.67,1.0,3.67,4.33,4.33,2.0,2.0,E0
Fulham,Everton,1.0,0.0,0.0,2.5,3.2,2.75,60,60,4.0,506.0,4.0,3.0,4.0,3.0,0.0,0.33,0.0,0.0,2.33,0.33,1.33,2.0,5.0,1.0,2.33,5.33,2.0,2.0,E0
Man City,Portsmouth,2.0,1.0,0.0,1.61,3.6,5.5,90,50,4.0,506.0,4.0,0.0,10.0,1.0,0.0,0.33,0.0,0.67,2.67,0.67,1.0,0.67,5.0,3.33,4.33,2.0,2.0,2.0,E0
Tottenham,Chelsea,0.0,2.0,2.0,4.33,3.3,1.83,80,80,4.0,506.0,3.0,6.0,7.0,12.0,0.67,0.33,0.0,0.0,2.67,3.0,1.0,1.67,6.0,6.67,4.0,4.0,2.0,2.0,E0
West Brom,Birmingham,2.0,3.0,2.0,2.37,3.1,3.0,60,50,4.0,506.0,3.0,4.0,4.0,4.0,0.67,0.0,0.33,0.0,0.67,1.33,0.67,2.33,2.0,2.33,3.33,5.0,2.0,2.0,E0
West Ham,Bolton,1.0,2.0,2.0,2.5,3.2,2.75,60,50,3.0,506.0,3.0,4.0,4.0,7.0,1.0,0.67,0.33,0.67,1.67,2.0,1.67,0.67,4.33,4.33,3.67,1.0,2.0,2.0,E0
Wigan,Sunderland,1.0,0.0,0.0,2.1,3.25,3.4,60,50,3.0,506.0,3.0,0.0,3.0,0.0,0.0,0.0,0.33,0.33,1.67,0.0,3.0,2.0,4.0,0.67,6.67,5.0,2.0,2.0,E0
Middlesbrough,Charlton,0.0,3.0,2.0,1.83,3.3,4.33,60,50,4.0,506.0,1.0,6.0,4.0,9.0,0.0,1.0,0.0,0.33,0.67,1.33,2.33,2.67,1.33,4.67,5.33,4.0,2.0,2.0,E0
Newcastle,Man United,0.0,2.0,2.0,5.0,3.6,1.66,70,80,4.0,506.0,1.0,6.0,1.0,9.0,0.0,0.67,0.0,0.0,2.0,1.67,0.33,1.67,4.67,4.0,2.0,3.33,2.0,2.0,E0
Birmingham,Charlton,0.0,1.0,2.0,2.37,3.25,2.87,60,50,4.0,506.0,0.0,9.0,4.0,12.0,0.33,2.0,1.67,0.33,3.33,4.0,3.0,4.67,7.67,8.67,5.67,7.33,3.0,3.0,E0
Chelsea,Sunderland,2.0,0.0,0.0,1.12,7.5,19.0,90,50,5.0,506.0,9.0,0.0,15.0,0.0,1.67,0.0,0.0,0.67,4.67,2.33,1.0,3.67,6.67,3.67,3.0,8.67,3.0,3.0,E0
Everton,Portsmouth,0.0,1.0,2.0,1.72,3.3,5.0,70,50,5.0,506.0,0.0,3.0,3.0,4.0,0.0,0.67,0.67,1.33,1.67,1.33,1.67,3.67,3.33,5.67,4.0,7.33,2.0,3.0,E0
Man United,Man City,1.0,1.0,1.0,1.4,3.75,10.0,90,80,4.0,506.0,4.0,7.0,10.0,11.0,0.33,1.33,0.0,0.67,4.0,4.33,1.0,4.0,6.0,7.0,1.0,8.0,2.0,3.0,E0
Middlesbrough,Arsenal,2.0,1.0,0.0,5.0,3.3,1.72,60,70,5.0,506.0,4.0,0.0,7.0,6.0,0.0,0.0,1.0,0.33,2.67,1.0,5.0,2.0,4.67,3.0,9.33,3.0,3.0,2.0,E0
Newcastle,Fulham,1.0,1.0,1.0,1.61,3.4,6.0,70,50,5.0,506.0,2.0,1.0,2.0,5.0,0.0,0.67,0.67,2.0,3.33,2.33,2.0,7.67,7.67,5.33,5.67,12.0,3.0,3.0,E0
