year,set_num,id,version
1965,001-1,24696,1
1979,0011-2,5087,1
1987,0011-3,2216,1
1979,0012-1,1414,1
1979,0013-1,4609,1
1979,0014-1,5004,1
1979,0015-1,12208,1
1979,0016-1,13351,1
1965,002-1,24701,1
1966,003-1,24702,1
1965,005-1,2028,1
1967,005-2,24732,1
1985,00-6,2836,1
1965,010-1,13468,1
1968,010-3,5080,1
1968,011-1,8404,1
1966,021-1,24734,1
1968,022-1,6832,1
2015,0241187567-1,76615,1
2019,0241357594-1,35863,1
1979,028-1,26354,1
1973,030-2,35888,1
1999,03093-1,8957,1
1979,032-1,26365,1
1979,033-1,25681,1
1968,033-2,3372,1
1964,041-1,24736,1
1979,041-2,26368,1
1966,042-1,24737,1
1968,044-1,6772,1
1969,044-2,24738,1
1979,045-1,26355,1
1969,045-2,69190,1
1969,050-2,24739,1
1966,051-1,24740,1
1966,052-1,24741,1
1966,053-1,24742,1
1966,054-1,24743,1
1966,055-1,24744,1
1968,055-2,2962,1
1966,057-1,24745,1
1966,058-1,24748,1
1966,060-1,24749,1
1968,060-3,24750,1
1966,061-1,24751,1
1966,062-1,24752,1
1966,063-1,24753,1
1978,063-2,31596,1
1969,065-1,24754,1
1968,066-1,2650,1
1979,071-1,31595,1
1976,074-1,26992,1
2020,0744023726-1,75721,1
1975,075-1,26993,1
1999,0751359483-1,54699,1
2010,0756668530-1,6399,1
2009,0756672805-1,10414,1
2011,0756682762-1,16042,1
2012,0756692571-1,34726,1
1975,077-1,26994,1
1970,078-1,24755,1
1967,080-1,1973,1
1976,080-3,26995,1
1976,082-1,45846,1
1978,086-1,26480,1
1969,088-1,13887,1
2001,10000-1,9986,1
1985,1000-1,26651,1
2001,10001-1,11090,1
2001,10001-1,46115,2
2001,10002-1,4904,1
2001,10003-1,14242,1
2001,10004-1,7182,1
2001,10005-1,5882,1
2001,10006-1,15420,1
2001,10007-1,6349,1
2001,10008-1,96,1
2001,10009-1,11510,1
1966,100-1,15097,1
2003,10010-1,11526,1
2001,10011-1,2286,1
2001,10012-1,5323,1
2001,10013-1,1212,1
2001,10014-1,3197,1
2001,10015-1,4222,1
2001,10016-1,13739,1
2001,10017-1,931,1
2001,10018-1,14521,1
2001,10019-1,13852,1
1966,100-2,9538,1
2002,10020-1,4113,1
2002,10020-2,11970,1
2003,10021-1,15624,1
2002,10022-1,13406,1
2002,10023-1,8609,1
2002,10024-1,7884,1
2002,10025-1,7806,1
2002,10026-1,6064,1
2003,10027-1,10953,1
2003,10029-1,7830,1
2002,10030-1,4773,1
2002,10030-1,44145,2
2002,10036-1,14730,1
2002,10037-1,7939,1
2002,10039-1,12257,1
2002,10040-1,4892,1
2003,10041-1,11136,1
2003,10042-1,11552,1
2002,10043-1,2178,1
2002,10044-1,2392,1
2002,10045-1,11168,1
2002,10046-1,5150,1
2002,10047-1,10803,1
2002,10048-1,663,1
2002,10049-1,3511,1
2002,10050-1,8187,1
2002,10051-1,3857,1
2003,10052-1,26310,1
2003,10053-1,15654,1
2003,10054-1,13634,1
2003,10055-1,5409,1
2002,10056-1,2901,1
2002,10057-1,3722,1
2002,10058-1,7682,1
2002,10059-1,592,1
2002,10060-1,16054,1
2002,10061-1,4103,1
2002,10062-1,8728,1
2002,10063-1,12540,1
2002,10064-1,14868,1
2002,10065-1,14953,1
2002,10066-1,6575,1
2002,10067-1,6113,1
2002,10068-1,2821,1
