id,year,quantity
1,2004,5
3,2012,42
4,1999,17
15,1990,2
16,1969,10
17,2014,34
21,2000,50
22,2016,62
25,2016,1
26,1999,201
27,1998,17
28,2006,198
30,2014,128
31,1977,1
33,1988,149
34,2017,3
36,1995,8
37,2007,41
38,2010,1237
40,2004,42
42,2013,2
43,2014,96
45,2014,64
49,2003,26
52,1986,284
54,1999,120
55,1983,4
56,2005,551
58,2015,2034
60,2001,8
61,2003,325
62,2014,60
63,1991,255
64,1998,92
65,2000,50
67,2000,18
68,2007,141
69,2011,27
70,1966,20
73,2014,480
74,2012,162
76,2008,5962
80,2000,100
82,2004,32
83,2005,631
84,1998,92
86,1990,183
88,1999,254
89,2015,947
91,2012,156
92,1986,384
94,2007,945
96,2001,50
98,2011,2
100,2015,49
101,2011,49
102,2011,2
103,2004,1200
105,2000,40
106,2014,3
110,1974,37
111,2009,120
112,2004,421
113,1998,412
115,2006,696
116,2015,19
119,1964,253
123,2016,654
125,2000,10
126,2002,3
127,2000,17
128,2003,261
132,1987,47
136,1996,129
137,2014,47
140,1985,66
142,2002,340
143,2010,18
145,2016,59
147,1981,2
148,2013,87
151,2008,457
152,2014,214
153,2013,221
154,2011,231
155,2006,1212
158,1984,2
159,1980,746
162,2010,9
163,2015,43
166,2009,256
168,1994,26
171,1973,39
172,2011,201
173,2016,139
174,2015,79
175,2004,173
177,2009,51
179,2001,24
180,2003,94
182,2012,5
183,1976,23
186,2016,115
187,2009,1
188,2014,223
192,2001,16
197,1992,76
198,2013,1204
199,2014,64
203,2010,82
204,2012,196
206,2009,817
207,2014,150
208,1968,191
209,2002,100
210,1988,558
211,1981,6
212,1998,14
214,1985,24
215,2007,39
216,1985,24
217,1998,94
218,2014,268
220,1997,15
221,1999,19
222,2001,164
224,2017,3
225,1997,1
226,2014,5
229,1985,296
232,1997,219
233,2014,27
234,2014,465
236,2013,150
238,1984,103
239,2014,253
240,1996,182
242,2008,106
243,2015,56
245,2007,1215
246,2003,200
248,2011,82
250,1999,230
254,1994,149
256,1996,1
258,2010,2
259,2014,93
262,2010,21
263,2004,124
265,2010,126
267,2016,178
268,1997,11
269,2015,250
272,2014,26
274,1977,21
275,2008,13
276,2010,2
279,2011,210
280,1995,77
282,2014,23
284,1979,360
293,2004,354
294,2014,2
295,2010,297
297,2015,1
299,2016,44
300,2000,25
301,1992,17
302,2014,97
303,1985,35
304,1987,70
305,2009,118
307,2001,106
308,2003,28
310,1987,1
311,2003,1
312,2000,241
313,2008,206
315,1987,17
316,2012,191
317,1981,22
319,1998,423
321,1985,26
322,1958,26
323,2002,410
324,1977,1
325,2012,102
326,2000,26
327,2006,22
328,2006,69
330,2011,811
331,1978,364
332,2004,379
333,1986,1
334,2016,3
335,1975,39
336,2015,91
337,1987,79
338,2008,430
345,2011,55
347,2017,43
348,2010,19
349,2012,89
350,1990,488
353,1987,1
354,2001,238
355,1999,25
356,2002,10
357,2012,24
358,2015,383
361,2002,50
362,2005,630
363,1980,28
364,2001,28
